2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='reserveDates_KEY', referencedColumn='null', mappedBy='null'}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='client'}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='client'}
2021-09-04 13:32:10 DEBUG CollectionBinder:450 - Collection role: models.Client.reserveDates
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property reserveDates
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=surname, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG PropertyBinder:175 - MetadataSourceProcessor property surname with lazy=false
2021-09-04 13:32:10 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [models.Client:surname]
2021-09-04 13:32:10 DEBUG SimpleValueBinder:411 - building SimpleValue for surname
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property surname
2021-09-04 13:32:10 DEBUG AnnotationBinder:557 - Binding entity from annotated class: models.Worker
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-09-04 13:32:10 DEBUG EntityBinder:430 - Import with entity name Worker
2021-09-04 13:32:10 DEBUG EntityBinder:873 - Bind entity models.Worker on table Worker
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Worker), mappingColumn=id, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2021-09-04 13:32:10 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [models.Worker:id]
2021-09-04 13:32:10 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property id
2021-09-04 13:32:10 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Worker), mappingColumn=name, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG PropertyBinder:175 - MetadataSourceProcessor property name with lazy=false
2021-09-04 13:32:10 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [models.Worker:name]
2021-09-04 13:32:10 DEBUG SimpleValueBinder:411 - building SimpleValue for name
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property name
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Worker), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Worker), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Worker), mappingColumn=services_KEY, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='services_KEY', referencedColumn='null', mappedBy='null'}
